"id","registro","nome","celular","email","id_especializacao","cep","numero"
"1","015974/PE","Dr João Marcio Garcia","(81) 9 9959-7113","joão_marcio@mail.com","1","55819-068","55"
"2","067439/PE","Dr Haniel Brião Bulhosa","(81) 9 9999-9999","haniel_brião@mail.com","1","54230-661","57"
"3","098755/PE","Dr Eliel Filipe Carmona","(81) 9 9999-9999","eliel_filipe@mail.com","2","55819-068","55"
"4","099935/PE","Henzo Aquino Matias","(81) 9 9999-9999","aquino_matias@mail.com","2","55608-312","08"
"5","036596/SP","Dra Fabiana Argolo Graça","(81) 9 9999-9999","fabiana_argolo@mail.com","3","53439-430","55"
"6","025189/PE","Dr Jair Doutel Cavadas","(81) 9 9999-9999","jair_doutel@mail.com","3","54735-330","08"
"7","054059/PE","Dra Viviana Telinhos","(81) 9 9999-9999","viviana_telinhos@mail.com","4","53439-430","5"
"8","078682/PE","Dr Deivid Meireles Barroso","(81) 9 9999-9999","deivid_meireles@mail.com","4","54735-330","8"
"9","070493/PE","Dra Carmona Viviana Telinhos","(81) 9 9999-9999","carmona_viviana@mail.com","1","53439-430","5"
"10","070198/SP","Dra Camilla Meireles","(81) 9 9999-9999","camilla_meireles@mail.com","2","54735-330","8"
"11","076943/PE","Dr Deivid Farias Vergueiro","(81) 9 9999-9999","deivid_farias@mail.com","3","54320-136","7"
